,date,NAV,NavperUnit,sellingPrice,redemptionPrice,change,FundName
0,2023-02-13,36719824088.89,11.2968,11.2969,11.2968,0.0008,B-TREASURY : Bualuang Treasury Fund
1,2023-02-10,36766002760.97,11.296,11.2961,11.296,0.0003,B-TREASURY : Bualuang Treasury Fund
2,2023-02-09,36842148478.36,11.2957,11.2958,11.2957,0.0003,B-TREASURY : Bualuang Treasury Fund
3,2023-02-08,37023271174.22,11.2954,11.2955,11.2954,0.0004,B-TREASURY : Bualuang Treasury Fund
4,2023-02-07,37011878323.8,11.295,11.2951,11.295,0.0,B-TREASURY : Bualuang Treasury Fund
5,2023-02-06,37086003621.16,11.295,11.2951,11.295,0.0008,B-TREASURY : Bualuang Treasury Fund
6,2023-02-03,37092386551.49,11.2942,11.2943,11.2942,0.0002,B-TREASURY : Bualuang Treasury Fund
7,2023-02-02,37081436313.82,11.294,11.2941,11.294,0.0004,B-TREASURY : Bualuang Treasury Fund
8,2023-02-01,37109232130.23,11.2936,11.2937,11.2936,0.0002,B-TREASURY : Bualuang Treasury Fund
9,2023-01-31,37045330682.98,11.2934,11.2935,11.2934,0.0003,B-TREASURY : Bualuang Treasury Fund
10,2023-01-30,37043260305.35,11.2931,11.2932,11.2931,0.0004,B-TREASURY : Bualuang Treasury Fund
11,2023-01-27,36997984141.12,11.2927,11.2928,11.2927,0.0001,B-TREASURY : Bualuang Treasury Fund
12,2023-01-26,36996991387.01,11.2926,11.2927,11.2926,-0.0002,B-TREASURY : Bualuang Treasury Fund
13,2023-01-25,37851654296.45,11.2928,11.2929,11.2928,0.0002,B-TREASURY : Bualuang Treasury Fund
14,2023-01-24,38400188123.2,11.2926,11.2927,11.2926,0.0001,B-TREASURY : Bualuang Treasury Fund
15,2023-01-23,38382713468.75,11.2925,11.2926,11.2925,0.0008,B-TREASURY : Bualuang Treasury Fund
16,2023-01-20,38299277693.96,11.2917,11.2918,11.2917,0.0001,B-TREASURY : Bualuang Treasury Fund
17,2023-01-19,38354149925.87,11.2916,11.2917,11.2916,0.0004,B-TREASURY : Bualuang Treasury Fund
18,2023-01-18,38631733501.03,11.2912,11.2913,11.2912,0.0,B-TREASURY : Bualuang Treasury Fund
19,2023-01-17,39184285983.51,11.2912,11.2913,11.2912,0.0001,B-TREASURY : Bualuang Treasury Fund
20,2023-01-16,39496806758.42,11.2911,11.2912,11.2911,0.0006,B-TREASURY : Bualuang Treasury Fund
21,2023-01-13,39558826269.58,11.2905,11.2906,11.2905,0.0004,B-TREASURY : Bualuang Treasury Fund
22,2023-01-12,38853324267.67,11.2901,11.2902,11.2901,0.0001,B-TREASURY : Bualuang Treasury Fund
23,2023-01-11,38982113250.09,11.29,11.2901,11.29,0.0001,B-TREASURY : Bualuang Treasury Fund
24,2023-01-10,39273951509.4,11.2899,11.29,11.2899,0.0,B-TREASURY : Bualuang Treasury Fund
25,2023-01-09,39391648684.63,11.2899,11.29,11.2899,0.001,B-TREASURY : Bualuang Treasury Fund
26,2023-01-06,39371695454.06,11.2889,11.289,11.2889,0.0,B-TREASURY : Bualuang Treasury Fund
27,2023-01-05,39452173056.47,11.2889,11.289,11.2889,0.0004,B-TREASURY : Bualuang Treasury Fund
28,2023-01-04,39525791942.67,11.2885,11.2886,11.2885,0.0006,B-TREASURY : Bualuang Treasury Fund
29,2023-01-03,40306044384.73,11.2879,11.288,11.2879,0.0009,B-TREASURY : Bualuang Treasury Fund
30,2022-12-30,40420138366.8,11.287,11.2871,11.287,0.0003,B-TREASURY : Bualuang Treasury Fund
31,2022-12-29,40156079644.6,11.2867,11.2868,11.2867,0.0,B-TREASURY : Bualuang Treasury Fund
32,2022-12-28,39973641902.2,11.2867,11.2868,11.2867,0.0002,B-TREASURY : Bualuang Treasury Fund
33,2022-12-27,39874689594.18,11.2865,11.2866,11.2865,0.0005,B-TREASURY : Bualuang Treasury Fund
34,2022-12-26,39167544232.66,11.286,11.2861,11.286,0.0006,B-TREASURY : Bualuang Treasury Fund
35,2022-12-23,38715566469.96,11.2854,11.2855,11.2854,0.0001,B-TREASURY : Bualuang Treasury Fund
36,2022-12-22,39003406195.01,11.2853,11.2854,11.2853,0.0004,B-TREASURY : Bualuang Treasury Fund
37,2022-12-21,39009683051.0,11.2849,11.285,11.2849,0.0001,B-TREASURY : Bualuang Treasury Fund
38,2022-12-20,39020092199.22,11.2848,11.2849,11.2848,0.0004,B-TREASURY : Bualuang Treasury Fund
39,2022-12-19,39376487775.99,11.2844,11.2845,11.2844,0.0007,B-TREASURY : Bualuang Treasury Fund
40,2022-12-16,39346714301.35,11.2837,11.2838,11.2837,0.0003,B-TREASURY : Bualuang Treasury Fund
41,2022-12-15,39220427622.56,11.2834,11.2835,11.2834,0.0002,B-TREASURY : Bualuang Treasury Fund
42,2022-12-14,39273121848.55,11.2832,11.2833,11.2832,0.0002,B-TREASURY : Bualuang Treasury Fund
43,2022-12-13,39379745815.93,11.283,11.2831,11.283,0.001,B-TREASURY : Bualuang Treasury Fund
44,2022-12-09,39503993406.97,11.282,11.2821,11.282,0.0001,B-TREASURY : Bualuang Treasury Fund
45,2022-12-08,39570310443.45,11.2819,11.282,11.2819,0.0004,B-TREASURY : Bualuang Treasury Fund
46,2022-12-07,39683655764.63,11.2815,11.2816,11.2815,0.0003,B-TREASURY : Bualuang Treasury Fund
47,2022-12-06,39693164237.65,11.2812,11.2813,11.2812,0.0008,B-TREASURY : Bualuang Treasury Fund
48,2022-12-02,39711573991.5,11.2804,11.2805,11.2804,0.0003,B-TREASURY : Bualuang Treasury Fund
49,2022-12-01,39756427289.3,11.2801,11.2802,11.2801,0.0001,B-TREASURY : Bualuang Treasury Fund
50,2022-11-30,39047287150.7,11.28,11.2801,11.28,0.0002,B-TREASURY : Bualuang Treasury Fund
51,2022-11-29,38919226407.88,11.2798,11.2799,11.2798,0.0001,B-TREASURY : Bualuang Treasury Fund
52,2022-11-28,39067887935.86,11.2797,11.2798,11.2797,0.0005,B-TREASURY : Bualuang Treasury Fund
53,2022-11-25,39039207153.8,11.2792,11.2793,11.2792,0.0003,B-TREASURY : Bualuang Treasury Fund
54,2022-11-24,39140078754.95,11.2789,11.279,11.2789,0.0001,B-TREASURY : Bualuang Treasury Fund
55,2022-11-23,39149161614.35,11.2788,11.2789,11.2788,0.0003,B-TREASURY : Bualuang Treasury Fund
56,2022-11-22,39243221175.35,11.2785,11.2786,11.2785,0.0001,B-TREASURY : Bualuang Treasury Fund
57,2022-11-21,39327508913.94,11.2784,11.2785,11.2784,0.0006,B-TREASURY : Bualuang Treasury Fund
58,2022-11-18,39413173449.03,11.2778,11.2779,11.2778,0.0002,B-TREASURY : Bualuang Treasury Fund
59,2022-11-17,38791972332.09,11.2776,11.2777,11.2776,0.0001,B-TREASURY : Bualuang Treasury Fund
60,2022-11-16,38554369003.52,11.2775,11.2776,11.2775,0.0002,B-TREASURY : Bualuang Treasury Fund
61,2022-11-15,38416171785.3,11.2773,11.2774,11.2773,0.0002,B-TREASURY : Bualuang Treasury Fund
62,2022-11-14,38480231343.22,11.2771,11.2772,11.2771,0.0005,B-TREASURY : Bualuang Treasury Fund
63,2022-11-11,38458761483.4,11.2766,11.2767,11.2766,0.0003,B-TREASURY : Bualuang Treasury Fund
64,2022-11-10,38823154217.25,11.2763,11.2764,11.2763,0.0001,B-TREASURY : Bualuang Treasury Fund
65,2022-11-09,38806170472.19,11.2762,11.2763,11.2762,0.0001,B-TREASURY : Bualuang Treasury Fund
66,2022-11-08,38879019657.02,11.2761,11.2762,11.2761,0.0003,B-TREASURY : Bualuang Treasury Fund
